[Header]
Application Name	LCsolution
Version	1.25
Data File Name	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-2.lcd
Output Date	23.06.2025
Output Time	11:22:53

[File Information]
Type	Data File
Generated	23.06.2025 07:57:18
Generated by	Admin
Modified	23.06.2025 08:17:45
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	23.06.2025 07:57:42
Sample Type	0:Unknown
Level	1
Sample Name	FKE-Cal-FA-2-2
Sample ID	FKE-Cal-FA-2-2
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	2
Injection Volume	5

[Original Files]
Data File	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-2.lcd
Method File	C:\LabSolutions\Data\RWTH\aaaMethodenNEU\Formaldehyd_35grad_Methode_052025.lcm
Batch File	C:\LabSolutions\Data\RWTH\Daniel Ditz\Batch.lcb
Report Format File	C:\LabSolutions\Data\RI+UV-Quantifizierung.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector B
# of Channels	1	1

[Peak Table(Detector A-Ch1)]
# of Peaks	74
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	1.858	1.742	1.942	10227	1064	9.6140	0.0000	 V 			0.000	144	1038.175	0.000	0.000	0.000	0.0000	0.0000
2	3.179	3.050	3.217	11465	1270	9.0260	0.0000	 V 			0.711	263	570.299	0.000	1.884	0.000	0.0000	0.0000
3	3.584	3.475	3.650	13601	1401	9.7060	0.0000	 V 			0.929	79	1896.831	0.000	0.337	1.306	0.0000	0.0000
4	3.802	3.650	3.842	17247	1673	10.3060	0.0000	 V 			1.046	499	300.527	0.000	0.191	1.127	0.0000	0.0000
5	3.898	3.842	3.967	11532	1563	7.3800	0.0000	 V 			1.098	28	5366.327	0.000	0.053	1.050	0.0000	0.0000
6	4.455	4.150	4.533	34825	1799	19.3630	0.0000	 V 			1.398	402	373.554	0.000	0.290	1.273	0.0000	0.0000
7	4.566	4.533	4.692	14098	1679	8.3970	0.0000	 V 			1.458	514	292.035	0.000	0.131	1.043	0.0000	0.0000
8	4.796	4.692	4.892	16404	1474	11.1260	0.0000	 V 			1.581	463	324.069	0.000	0.271	1.085	0.0000	0.0000
9	5.994	5.875	6.033	10766	1266	8.5060	0.0000	 V 			2.226	1555	96.446	0.000	1.597	1.408	0.0000	0.0000
10	6.147	6.133	6.333	12878	1229	10.4750	0.0000	 V 			2.308	912	164.461	0.000	0.216	1.037	0.0000	0.0000
11	6.951	6.792	7.067	17125	1242	13.7900	0.0000	 V 			2.741	1893	79.222	0.000	1.106	1.187	0.0000	0.0000
12	7.283	7.100	7.317	15309	1392	10.9980	0.0000	 V 			2.920	1116	134.423	0.000	0.440	1.065	0.0000	0.0000
13	7.792	7.683	7.850	15927	1751	9.0980	0.0000	 V 			3.193	1089	137.786	0.000	0.560	1.094	0.0000	0.0000
14	7.936	7.850	7.983	14426	1925	7.4930	0.0000	 V 			3.271	351	426.812	0.000	0.109	1.024	0.0000	0.0000
15	8.180	8.033	8.233	25318	2282	11.0940	0.0000	 V 			3.403	585	256.327	0.000	0.161	1.040	0.0000	0.0000
