[Header]
Application Name	LCsolution
Version	1.25
Data File Name	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-35test-cal-1.lcd
Output Date	27.05.2025
Output Time	09:19:14

[File Information]
Type	Data File
Generated	27.05.2025 09:06:16
Generated by	Admin
Modified	27.05.2025 09:19:07
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	27.05.2025 09:06:41
Sample Type	0:Unknown
Level	1
Sample Name	FKE-35test-cal-1
Sample ID	FKE-35test-cal-1
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	5

[Original Files]
Data File	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-35test-cal-1.lcd
Method File	C:\LabSolutions\Data\RWTH\aaaMethodenNEU\Formaldehyd_Methode_042025.lcm
Batch File	C:\LabSolutions\Data\RWTH\Daniel Ditz\Batch.lcb
Report Format File	C:\LabSolutions\Data\RI+UV-Quantifizierung.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector B
# of Channels	1	1

[Peak Table(Detector A-Ch1)]
# of Peaks	59
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	0.147	0.075	0.217	514743	104772	4.9130	0.0000	   			0.000	15	9854.529	0.000	0.000	0.000	0.0000	0.0000
2	0.291	0.217	0.375	840834	107419	7.8280	0.0000	 V 			0.987	21	7049.856	0.000	0.718	0.000	0.0000	0.0000
3	0.437	0.375	0.467	527284	107072	4.9250	0.0000	 V 			1.983	84	1778.531	0.000	0.659	2.009	0.0000	0.0000
4	0.487	0.467	0.508	218340	94650	2.3070	0.0000	 V 			2.321	14	10986.895	0.000	0.138	1.171	0.0000	0.0000
5	0.556	0.508	0.583	403012	95425	4.2230	0.0000	 V 			2.798	26	5701.577	0.000	0.145	1.205	0.0000	0.0000
6	0.668	0.583	0.750	954613	99320	9.6110	0.0000	 V 			3.559	35	4258.452	0.000	0.252	1.272	0.0000	0.0000
7	0.905	0.750	1.008	1407333	90812	15.4970	0.0000	 V 			5.176	2	86847.699	0.000	0.148	1.454	0.0000	0.0000
8	1.017	1.008	1.067	285632	86487	3.3030	0.0000	 V 			5.940	0	0.000	0.000	0.000	1.148	0.0000	0.0000
9	1.147	1.067	1.233	803609	82249	9.7700	0.0000	 V 			6.831	4	33753.340	0.000	0.000	1.150	0.0000	0.0000
10	1.276	1.233	1.317	387154	77536	4.9930	0.0000	 V 			7.713	0	0.000	0.000	0.000	1.129	0.0000	0.0000
11	1.358	1.317	1.383	299098	74585	4.0100	0.0000	 V 			8.272	0	0.000	0.000	0.000	1.072	0.0000	0.0000
12	1.425	1.383	1.492	465595	72321	6.4380	0.0000	 V 			8.728	0	0.000	0.000	0.000	1.055	0.0000	0.0000
13	1.544	1.492	1.658	666212	67924	9.8080	0.0000	 V 			9.540	0	0.000	0.000	0.000	1.093	0.0000	0.0000
14	1.722	1.658	1.783	460332	61489	7.4860	0.0000	 V 			10.756	0	0.000	0.000	0.000	1.127	0.0000	0.0000
15	1.841	1.783	1.933	509452	57392	8.8770	0.0000	 V 			11.568	0	0.000	0.000	0.000	1.076	0.0000	0.0000
16	1.983	1.933	2.025	287867	52292	5.5050	0.0000	 V 			12.538	0	0.000	0.000	0.000	1.084	0.0000	0.0000
17	2.098	2.025	2.200	502336	48543	10.3480	0.0000	 V 			13.319	0	0.000	0.000	0.000	1.062	0.0000	0.0000
18	2.267	2.200	2.350	379798	42602	8.9150	0.0000	 V 			14.472	0	0.000	0.000	0.000	1.087	0.0000	0.0000
19	2.535	2.350	2.567	447488	33513	13.3520	0.0000	 V 			16.303	247	606.307	0.000	0.000	1.126	0.0000	0.0000
20	2.624	2.567	2.700	235285	30174	7.7980	0.0000	 V 			16.909	71	2124.327	0.000	0.094	1.037	0.0000	0.0000
21	2.769	2.700	2.800	149105	25204	5.9160	0.0000	 V 			17.903	0	0.000	0.000	0.000	1.059	0.0000	0.0000
