[Header]
Application Name	LCsolution
Version	1.25
Data File Name	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FALD-4.lcd
Output Date	03.06.2025
Output Time	07:23:15

[File Information]
Type	Data File
Generated	02.06.2025 19:35:34
Generated by	Admin
Modified	02.06.2025 19:55:59
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	02.06.2025 19:35:57
Sample Type	0:Unknown
Level	1
Sample Name	FKE-Cal-FALD-4
Sample ID	20.60
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	14
Injection Volume	5

[Original Files]
Data File	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FALD-4.lcd
Method File	C:\LabSolutions\Data\RWTH\aaaMethodenNEU\Formaldehyd_35grad_Methode_052025.lcm
Batch File	C:\LabSolutions\Data\RWTH\Daniel Ditz\Batch.lcb
Report Format File	C:\LabSolutions\Data\RI+UV-Quantifizierung.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector B
# of Channels	1	1

[Peak Table(Detector A-Ch1)]
# of Peaks	147
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	0.238	0.033	0.258	854319	95154	8.9780	0.0000	   			0.000	6	25614.601	0.000	0.000	0.000	0.0000	0.0000
2	0.371	0.258	0.417	1013758	137455	7.3750	0.0000	 V 			0.559	15	9963.363	0.000	0.343	0.000	0.0000	0.0000
3	0.581	0.417	0.642	2389096	218542	10.9320	0.0000	 V 			1.441	16	9598.966	0.000	0.433	2.579	0.0000	0.0000
4	0.740	0.642	0.783	2038485	261425	7.7980	0.0000	 V 			2.107	19	7865.634	0.000	0.251	1.462	0.0000	0.0000
5	0.864	0.783	0.908	2184305	329365	6.6320	0.0000	 V 			2.628	72	2097.384	0.000	0.228	1.247	0.0000	0.0000
6	0.935	0.908	0.975	1163844	310778	3.7450	0.0000	 V 			2.930	68	2209.598	0.000	0.167	1.115	0.0000	0.0000
7	1.140	0.975	1.200	4803843	389972	12.3180	0.0000	 V 			3.790	70	2145.186	0.000	0.410	1.294	0.0000	0.0000
8	1.236	1.200	1.267	1452885	392846	3.6980	0.0000	 V 			4.193	65	2322.940	0.000	0.165	1.106	0.0000	0.0000
9	1.306	1.267	1.342	1703830	424789	4.0110	0.0000	 V 			4.486	234	641.456	0.000	0.146	1.070	0.0000	0.0000
10	1.404	1.342	1.442	2499782	452354	5.5260	0.0000	 V 			4.897	68	2213.104	0.000	0.191	1.092	0.0000	0.0000
11	1.493	1.442	1.583	4011704	506219	7.9250	0.0000	 V 			5.271	82	1824.127	0.000	0.133	1.076	0.0000	0.0000
12	1.646	1.583	1.692	2826808	450214	6.2790	0.0000	 V 			5.913	113	1326.267	0.000	0.239	1.122	0.0000	0.0000
13	1.728	1.692	1.775	2223834	482692	4.6070	0.0000	 V 			6.261	318	472.056	0.000	0.164	1.059	0.0000	0.0000
14	1.810	1.775	1.850	2011644	490220	4.1040	0.0000	 V 			6.602	370	405.224	0.000	0.213	1.055	0.0000	0.0000
15	1.891	1.850	1.975	3392667	487334	6.9620	0.0000	 V 			6.943	132	1136.789	0.000	0.157	1.052	0.0000	0.0000
16	2.141	1.975	2.192	7194856	686437	10.4810	0.0000	 V 			7.993	102	1469.385	0.000	0.332	1.151	0.0000	0.0000
17	2.211	2.192	2.308	4273266	652192	6.5520	0.0000	 V 			8.289	48	3123.382	0.000	0.067	1.037	0.0000	0.0000
18	2.343	2.308	2.408	3478125	609862	5.7030	0.0000	 V 			8.844	114	1314.636	0.000	0.123	1.067	0.0000	0.0000
19	2.432	2.408	2.483	2564776	583737	4.3940	0.0000	 V 			9.216	109	1372.660	0.000	0.098	1.042	0.0000	0.0000
20	2.508	2.483	2.542	1950549	579263	3.3670	0.0000	 V 			9.536	162	924.918	0.000	0.089	1.035	0.0000	0.0000
21	2.564	2.542	2.667	3656649	573427	6.3770	0.0000	 V 			9.770	165	909.199	0.000	0.070	1.025	0.0000	0.0000
22	2.861	2.667	3.033	14023100	854557	16.4100	0.0000	 V 			11.018	216	693.263	0.000	0.377	1.128	0.0000	0.0000
23	3.183	3.033	3.225	7460432	820003	9.0980	0.0000	 V 			12.372	446	336.552	0.000	0.467	1.123	0.0000	0.0000
24	3.276	3.225	3.367	5298875	715087	7.4100	0.0000	 V 			12.761	35	4253.822	0.000	0.066	1.031	0.0000	0.0000
25	3.453	3.367	3.575	7111318	642851	11.0620	0.0000	 V 			13.507	218	688.520	0.000	0.113	1.058	0.0000	0.0000
26	3.640	3.575	3.683	3865805	636172	6.0770	0.0000	 V 			14.291	671	223.624	0.000	0.249	1.058	0.0000	0.0000
27	3.718	3.683	3.800	4299178	667127	6.4440	0.0000	 V 			14.620	427	351.495	0.000	0.122	1.023	0.0000	0.0000
28	3.914	3.800	3.950	6272849	784652	7.9940	0.0000	 V 			15.443	353	424.368	0.000	0.252	1.056	0.0000	0.0000
29	3.976	3.950	4.025	3482807	845283	4.1200	0.0000	 V 			15.701	1398	107.291	0.000	0.098	1.017	0.0000	0.0000
30	4.060	4.025	4.233	8567078	885627	9.6730	0.0000	 V 			16.055	2180	68.798	0.000	0.218	1.023	0.0000	0.0000
31	4.289	4.233	4.325	2941570	565004	5.2060	0.0000	 V 			17.019	682	219.994	0.000	0.456	1.060	0.0000	0.0000
32	4.355	4.325	4.400	2363837	558395	4.2330	0.0000	 V 			17.296	995	150.821	0.000	0.109	1.016	0.0000	0.0000
33	4.422	4.400	4.500	3218158	555758	5.7910	0.0000	 V 			17.575	662	226.515	0.000	0.107	1.016	0.0000	0.0000
34	4.554	4.500	4.625	3751454	557118	6.7340	0.0000	 V 			18.131	476	314.928	0.000	0.174	1.032	0.0000	0.0000
35	4.690	4.625	4.733	3145597	550078	5.7180	0.0000	 V 			18.700	2878	52.122	0.000	0.229	1.031	0.0000	0.0000
36	4.789	4.733	4.817	2802901	652290	4.2970	0.0000	 V 			19.118	1528	98.139	0.000	0.237	1.022	0.0000	0.0000
37	4.848	4.817	4.875	2209771	654719	3.3750	0.0000	 V 			19.364	650	230.851	0.000	0.094	1.013	0.0000	0.0000
38	4.893	4.875	4.967	3427095	636427	5.3850	0.0000	 V 			19.554	30	5063.720	0.000	0.021	1.010	0.0000	0.0000
39	5.011	4.967	5.158	6706964	725297	9.2470	0.0000	 V 			20.052	71	2112.828	0.000	0.040	1.025	0.0000	0.0000
40	5.214	5.158	5.258	3000649	556381	5.3930	0.0000	 V 			20.904	2455	61.099	0.000	0.145	1.042	0.0000	0.0000
41	5.295	5.258	5.342	2897045	615575	4.7060	0.0000	 V 			21.245	3189	47.039	0.000	0.204	1.016	0.0000	0.0000
42	5.381	5.342	5.458	3743228	596852	6.2720	0.0000	 V 			21.606	1108	135.323	0.000	0.168	1.017	0.0000	0.0000
43	5.500	5.458	5.542	2334306	502890	4.6420	0.0000	 V 			22.105	873	171.746	0.000	0.171	1.023	0.0000	0.0000
44	5.614	5.542	5.658	3272630	507925	6.4430	0.0000	 V 			22.583	1464	102.484	0.000	0.171	1.022	0.0000	0.0000
45	5.682	5.658	5.767	2751778	502227	5.4790	0.0000	 V 			22.870	2519	59.542	0.000	0.132	1.013	0.0000	0.0000
46	6.049	5.767	6.100	10489085	631875	16.6000	0.0000	 V 			24.410	315	476.728	0.000	0.403	1.067	0.0000	0.0000
47	6.119	6.100	6.150	1879186	641666	2.9290	0.0000	 V 			24.705	466	321.625	0.000	0.056	1.012	0.0000	0.0000
48	6.188	6.150	6.275	4819507	733485	6.5710	0.0000	 V 			24.996	1289	116.348	0.000	0.076	1.012	0.0000	0.0000
49	6.331	6.275	6.367	3919441	774790	5.0590	0.0000	 V 			25.595	1870	80.215	0.000	0.224	1.024	0.0000	0.0000
50	6.406	6.367	6.425	2861038	861498	3.3210	0.0000	 V 			25.911	1936	77.469	0.000	0.129	1.012	0.0000	0.0000
51	6.438	6.425	6.483	2968460	865610	3.4290	0.0000	 V 			26.046	115	1307.003	0.000	0.022	1.005	0.0000	0.0000
52	6.489	6.483	6.567	3871988	877474	4.4130	0.0000	 V 			26.258	3568	42.040	0.000	0.036	1.008	0.0000	0.0000
53	6.588	6.567	6.633	2614887	729712	3.5830	0.0000	 V 			26.676	6542	22.928	0.000	0.262	1.016	0.0000	0.0000
54	6.660	6.633	6.692	2287458	684161	3.3430	0.0000	 V 			26.978	1833	81.812	0.000	0.152	1.011	0.0000	0.0000
55	6.754	6.692	6.783	3608161	687303	5.2500	0.0000	 V 			27.372	946	158.521	0.000	0.125	1.015	0.0000	0.0000
56	6.807	6.783	7.058	9173138	697004	13.1610	0.0000	 V 			27.596	706	212.394	0.000	0.056	1.008	0.0000	0.0000
57	7.089	7.058	7.142	2156550	474677	4.5430	0.0000	 V 			28.781	256	586.786	0.000	0.202	1.043	0.0000	0.0000
58	7.170	7.142	7.283	3339057	422553	7.9020	0.0000	 V 			29.118	2413	62.154	0.000	0.068	1.012	0.0000	0.0000
59	7.429	7.283	7.500	5428363	468466	11.5880	0.0000	 V 			30.210	908	165.185	0.000	0.331	1.038	0.0000	0.0000
60	7.592	7.500	7.658	4172545	476692	8.7530	0.0000	 V 			30.893	1920	78.120	0.000	0.194	1.023	0.0000	0.0000
61	7.747	7.658	7.800	3625464	467411	7.7560	0.0000	 V 			31.541	3938	38.092	0.000	0.260	1.021	0.0000	0.0000
62	7.834	7.800	7.875	2002480	463183	4.3230	0.0000	 V 			31.907	2571	58.346	0.000	0.157	1.012	0.0000	0.0000
63	7.936	7.875	7.992	3111779	464847	6.6940	0.0000	 V 			32.337	231	648.385	0.000	0.076	1.013	0.0000	0.0000
64	8.138	7.992	8.225	6752004	549889	12.2790	0.0000	 V 			33.186	939	159.751	0.000	0.128	1.026	0.0000	0.0000
65	8.261	8.225	8.292	1922104	503600	3.8170	0.0000	 V 			33.703	3709	40.439	0.000	0.153	1.016	0.0000	0.0000
66	8.454	8.292	8.492	6687149	612096	10.9250	0.0000	 V 			34.514	1591	94.309	0.000	0.278	1.024	0.0000	0.0000
67	8.540	8.492	8.592	3864604	673649	5.7370	0.0000	 V 			34.876	161	934.466	0.000	0.049	1.010	0.0000	0.0000
68	8.646	8.592	8.708	4919513	779844	6.3080	0.0000	 V 			35.318	1748	85.831	0.000	0.060	1.013	0.0000	0.0000
69	8.748	8.708	8.775	2898919	788810	3.6750	0.0000	 V 			35.749	11136	13.470	0.000	0.177	1.012	0.0000	0.0000
70	8.844	8.775	8.883	4975171	828881	6.0020	0.0000	 V 			36.151	1746	85.917	0.000	0.163	1.011	0.0000	0.0000
71	8.916	8.883	8.967	4142149	864457	4.7920	0.0000	 V 			36.453	5028	29.830	0.000	0.106	1.008	0.0000	0.0000
72	9.031	8.967	9.233	12372496	902394	13.7110	0.0000	 V 			36.939	640	234.463	0.000	0.120	1.013	0.0000	0.0000
73	9.263	9.233	9.308	3216976	802477	4.0090	0.0000	 V 			37.911	12503	11.997	0.000	0.263	1.026	0.0000	0.0000
74	9.465	9.308	9.525	10695301	912863	11.7160	0.0000	 V 			38.761	4857	30.885	0.000	0.463	1.022	0.0000	0.0000
75	9.545	9.525	9.600	3701581	904925	4.0900	0.0000	 V 			39.096	4239	35.389	0.000	0.141	1.009	0.0000	0.0000
76	9.621	9.600	9.675	3414945	795961	4.2900	0.0000	 V 			39.414	2625	57.135	0.000	0.113	1.008	0.0000	0.0000
77	9.695	9.675	9.725	2248916	784367	2.8670	0.0000	 V 			39.725	3756	39.938	0.000	0.107	1.008	0.0000	0.0000
78	9.766	9.725	9.817	4632352	889111	5.2100	0.0000	 V 			40.026	4756	31.537	0.000	0.119	1.008	0.0000	0.0000
79	9.858	9.817	9.917	5114395	925508	5.5260	0.0000	 V 			40.411	6775	22.140	0.000	0.176	1.010	0.0000	0.0000
80	9.944	9.917	9.975	3010218	913810	3.2940	0.0000	 V 			40.772	15418	9.729	0.000	0.214	1.009	0.0000	0.0000
81	10.178	9.975	10.242	17669379	1335208	13.2330	0.0000	 V 			41.757	2680	55.962	0.000	0.424	1.024	0.0000	0.0000
82	10.300	10.242	10.342	7453412	1316721	5.6610	0.0000	 V 			42.268	2730	54.948	0.000	0.155	1.012	0.0000	0.0000
83	10.372	10.342	10.417	5755438	1344837	4.2800	0.0000	 V 			42.570	6058	24.761	0.000	0.109	1.007	0.0000	0.0000
84	10.474	10.417	10.508	7119678	1363548	5.2210	0.0000	 V 			42.999	478	314.123	0.000	0.083	1.010	0.0000	0.0000
85	10.561	10.508	10.617	8537451	1447793	5.8970	0.0000	 V 			43.366	11740	12.776	0.000	0.076	1.009	0.0000	0.0000
86	10.640	10.617	10.675	4093024	1231358	3.3240	0.0000	 V 			43.696	6715	22.338	0.000	0.173	1.008	0.0000	0.0000
87	10.726	10.675	10.767	6566694	1268518	5.1770	0.0000	 V 			44.056	5465	27.446	0.000	0.156	1.008	0.0000	0.0000
88	10.834	10.767	10.958	13491276	1343961	10.0380	0.0000	 V 			44.513	3667	40.901	0.000	0.168	1.010	0.0000	0.0000
89	10.981	10.958	11.033	4632398	1089640	4.2510	0.0000	 V 			45.128	2704	55.471	0.000	0.188	1.014	0.0000	0.0000
90	11.057	11.033	11.133	5672393	1062936	5.3370	0.0000	 V 			45.450	9143	16.406	0.000	0.117	1.007	0.0000	0.0000
91	11.204	11.133	11.292	8018876	1001346	8.0080	0.0000	 V 			46.066	3224	46.527	0.000	0.234	1.014	0.0000	0.0000
92	11.437	11.292	11.475	10052615	1019927	9.8560	0.0000	 V 			47.045	1665	90.086	0.000	0.244	1.021	0.0000	0.0000
93	11.611	11.475	11.767	16031644	1159081	13.8310	0.0000	 V 			47.774	2729	54.963	0.000	0.172	1.015	0.0000	0.0000
94	11.779	11.767	11.850	3573957	736441	4.8530	0.0000	 V 			48.483	6572	22.823	0.000	0.230	1.015	0.0000	0.0000
95	11.883	11.850	11.925	2932945	671146	4.3700	0.0000	 V 			48.917	2713	55.291	0.000	0.138	1.009	0.0000	0.0000
96	11.987	11.925	12.042	4889929	766648	6.3780	0.0000	 V 			49.354	11654	12.871	0.000	0.153	1.009	0.0000	0.0000
97	12.086	12.042	12.117	3045986	707939	4.3030	0.0000	 V 			49.770	14196	10.567	0.000	0.233	1.008	0.0000	0.0000
98	12.141	12.117	12.167	2082086	715054	2.9120	0.0000	 V 			50.002	12082	12.415	0.000	0.130	1.005	0.0000	0.0000
99	12.226	12.167	12.292	5061091	699454	7.2360	0.0000	 V 			50.357	3092	48.511	0.000	0.128	1.007	0.0000	0.0000
100	12.436	12.292	12.517	11471757	1054599	10.8780	0.0000	 V 			51.241	8776	17.092	0.000	0.299	1.018	0.0000	0.0000
101	12.554	12.517	12.592	3818184	910022	4.1960	0.0000	 V 			51.738	11710	12.810	0.000	0.238	1.010	0.0000	0.0000
102	12.678	12.592	12.692	5490973	1041403	5.2730	0.0000	 V 			52.257	8762	17.119	0.000	0.246	1.010	0.0000	0.0000
103	12.707	12.692	12.783	5563655	1052206	5.2880	0.0000	 V 			52.380	567	264.488	0.000	0.022	1.002	0.0000	0.0000
104	12.839	12.783	12.942	9878207	1121658	8.8070	0.0000	 V 			52.934	2955	50.760	0.000	0.086	1.011	0.0000	0.0000
105	13.063	12.942	13.117	12754925	1433029	8.9010	0.0000	 V 			53.877	14316	10.478	0.000	0.325	1.018	0.0000	0.0000
106	13.140	13.117	13.175	4288871	1277553	3.3570	0.0000	 V 			54.199	3450	43.473	0.000	0.115	1.006	0.0000	0.0000
107	13.198	13.175	13.225	3763953	1289099	2.9200	0.0000	 V 			54.443	3085	48.618	0.000	0.063	1.005	0.0000	0.0000
108	13.261	13.225	13.300	5701862	1322486	4.3110	0.0000	 V 			54.708	5800	25.861	0.000	0.076	1.005	0.0000	0.0000
109	13.332	13.300	13.358	4900146	1484146	3.3020	0.0000	 V 			55.004	7841	19.131	0.000	0.109	1.005	0.0000	0.0000
110	13.398	13.358	13.467	9446168	1562150	6.0470	0.0000	 V 			55.284	1786	83.971	0.000	0.071	1.005	0.0000	0.0000
111	13.472	13.467	13.542	5940098	1416431	4.1940	0.0000	 V 			55.592	1434	104.612	0.000	0.054	1.006	0.0000	0.0000
112	13.577	13.542	13.708	12647983	1425610	8.8720	0.0000	 V 			56.034	3241	46.275	0.000	0.089	1.008	0.0000	0.0000
113	13.802	13.708	13.883	13220032	1370330	9.6470	0.0000	 V 			56.981	10801	13.888	0.000	0.304	1.017	0.0000	0.0000
114	13.992	13.883	14.217	21615187	1322533	16.3440	0.0000	 V 			57.776	4538	33.051	0.000	0.278	1.014	0.0000	0.0000
115	14.326	14.217	14.358	6871657	856066	8.0270	0.0000	 V 			59.179	3003	49.951	0.000	0.356	1.024	0.0000	0.0000
116	14.407	14.358	14.458	4944534	886216	5.5790	0.0000	 V 			59.520	1311	114.459	0.000	0.062	1.006	0.0000	0.0000
117	14.522	14.458	14.558	5337521	1010593	5.2820	0.0000	 V 			60.004	23332	6.429	0.000	0.117	1.008	0.0000	0.0000
118	14.699	14.558	14.833	17427010	1274447	13.6740	0.0000	 V 			60.747	1932	77.638	0.000	0.206	1.012	0.0000	0.0000
119	15.055	14.833	15.125	22786307	1597939	14.2600	0.0000	 V 			62.242	604	248.338	0.000	0.188	1.025	0.0000	0.0000
120	15.133	15.125	15.225	8049960	1590066	5.0630	0.0000	 V 			62.570	13809	10.863	0.000	0.053	1.005	0.0000	0.0000
