[Header]
Application Name	LCsolution
Version	1.25
Data File Name	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-3.lcd
Output Date	23.06.2025
Output Time	11:22:52

[File Information]
Type	Data File
Generated	23.06.2025 08:17:46
Generated by	Admin
Modified	23.06.2025 08:34:31
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	23.06.2025 08:18:10
Sample Type	0:Unknown
Level	1
Sample Name	FKE-Cal-FA-2-3
Sample ID	FKE-Cal-FA-2-3
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	3
Injection Volume	5

[Original Files]
Data File	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-3.lcd
Method File	C:\LabSolutions\Data\RWTH\aaaMethodenNEU\Formaldehyd_35grad_Methode_052025.lcm
Batch File	C:\LabSolutions\Data\RWTH\Daniel Ditz\Batch.lcb
Report Format File	C:\LabSolutions\Data\RI+UV-Quantifizierung.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector B
# of Channels	1	1

[Peak Table(Detector A-Ch1)]
# of Peaks	101
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	0.109	0.042	0.158	98595	25337	3.8910	0.0000	   			0.000	15	10199.729	0.847	0.000	0.000	0.0000	0.0000
2	0.300	0.158	0.342	326505	39286	8.3110	0.0000	   			1.758	35	4255.557	0.000	1.212	0.000	0.0000	0.0000
3	0.393	0.342	0.433	117841	38889	3.0300	0.0000	 V 			2.615	224	670.983	0.000	0.606	1.487	0.0000	0.0000
4	0.454	0.433	0.500	93998	33994	2.7650	0.0000	   			3.173	756	198.316	1.653	0.710	1.214	0.0000	0.0000
5	0.600	0.500	0.650	368693	61890	5.9570	0.0000	   			4.513	240	625.813	0.000	1.319	1.422	0.0000	0.0000
6	0.808	0.650	0.975	1426009	77642	18.3660	0.0000	 V 			6.425	0	123353799.050	0.000	0.004	1.424	0.0000	0.0000
7	1.156	0.975	1.283	1409970	78204	18.0290	0.0000	 V 			9.632	70	2157.878	0.000	0.007	1.499	0.0000	0.0000
8	1.397	1.283	1.442	731308	78458	9.3210	0.0000	 V 			11.846	0	1098566.665	0.000	0.031	1.230	0.0000	0.0000
9	1.477	1.442	1.575	628714	78684	7.9900	0.0000	 V 			12.581	0	11231262.602	0.000	0.002	1.062	0.0000	0.0000
10	1.642	1.575	1.767	906189	78905	11.4850	0.0000	 V 			14.096	0	3588006.055	0.000	0.004	1.120	0.0000	0.0000
11	1.850	1.767	1.942	831133	79289	10.4820	0.0000	 V 			16.011	0	1776441.959	0.000	0.007	1.136	0.0000	0.0000
12	1.988	1.942	2.050	515412	79457	6.4870	0.0000	 V 			17.279	1	254413.615	0.000	0.008	1.079	0.0000	0.0000
13	2.243	2.050	2.275	1075461	79957	13.4500	0.0000	 V 			19.624	0	2754569.156	0.000	0.010	1.136	0.0000	0.0000
14	2.388	2.275	2.483	1004730	80613	12.4640	0.0000	 V 			20.960	0	2454584.380	0.000	0.004	1.068	0.0000	0.0000
15	2.617	2.483	2.667	890115	81098	10.9760	0.0000	 V 			23.060	0	3166793.278	0.000	0.005	1.100	0.0000	0.0000
16	2.783	2.667	2.833	815047	81709	9.9750	0.0000	 V 			24.591	0	0.000	0.000	0.000	1.066	0.0000	0.0000
17	2.853	2.833	2.908	368322	81876	4.4990	0.0000	 V 			25.235	0	1303494.882	0.000	0.000	1.026	0.0000	0.0000
18	2.932	2.908	3.017	522444	81961	6.3740	0.0000	 V 			25.960	0	32420929.884	0.000	0.001	1.029	0.0000	0.0000
