[Header]
Application Name	LCsolution
Version	1.25
Data File Name	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-5.lcd
Output Date	23.06.2025
Output Time	11:22:52

[File Information]
Type	Data File
Generated	23.06.2025 08:55:05
Generated by	Admin
Modified	23.06.2025 09:15:32
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	23.06.2025 08:55:30
Sample Type	0:Unknown
Level	1
Sample Name	FKE-Cal-FA-2-5
Sample ID	FKE-Cal-FA-2-5
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	5
Injection Volume	5

[Original Files]
Data File	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-5.lcd
Method File	C:\LabSolutions\Data\RWTH\aaaMethodenNEU\Formaldehyd_35grad_Methode_052025.lcm
Batch File	C:\LabSolutions\Data\RWTH\Daniel Ditz\Batch.lcb
Report Format File	C:\LabSolutions\Data\RI+UV-Quantifizierung.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector B
# of Channels	1	1

[Peak Table(Detector A-Ch1)]
# of Peaks	135
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	0.215	0.017	0.233	3296656	336672	9.7920	0.0000	   			0.000	0	0.000	0.000	0.000	0.000	0.0000	0.0000
2	0.241	0.233	0.508	4497530	357197	12.5910	0.0000	 V 			0.121	5	27962.109	0.000	0.000	0.000	0.0000	0.0000
3	0.559	0.508	0.625	786178	228396	3.4420	0.0000	   			1.600	552	271.930	1.118	1.243	13.232	0.0000	0.0000
4	0.690	0.625	0.758	2931746	475600	6.1640	0.0000	   			2.207	54	2789.077	0.000	0.554	1.380	0.0000	0.0000
5	0.902	0.758	0.983	6898167	551824	12.5010	0.0000	 V 			3.190	10	15651.162	0.000	0.275	1.446	0.0000	0.0000
6	1.070	0.983	1.167	5618592	559212	10.0470	0.0000	 V 			3.972	54	2753.328	0.000	0.193	1.245	0.0000	0.0000
7	1.270	1.167	1.317	4761366	567027	8.3970	0.0000	 V 			4.903	103	1461.016	0.000	0.371	1.234	0.0000	0.0000
8	1.360	1.317	1.375	1932788	564381	3.4250	0.0000	 V 			5.318	29	5162.158	0.000	0.118	1.085	0.0000	0.0000
9	1.447	1.375	1.492	3874839	571729	6.7770	0.0000	 V 			5.724	11	13601.828	0.000	0.064	1.076	0.0000	0.0000
10	1.576	1.492	1.617	4062216	569246	7.1360	0.0000	 V 			6.324	90	1666.675	0.000	0.107	1.105	0.0000	0.0000
11	1.704	1.617	1.733	3911031	572809	6.8280	0.0000	 V 			6.919	26	5819.997	0.000	0.128	1.094	0.0000	0.0000
12	1.871	1.733	1.900	5597687	562550	9.9510	0.0000	 V 			7.693	7	20397.544	0.000	0.081	1.112	0.0000	0.0000
13	1.946	1.900	1.983	2775093	565439	4.9080	0.0000	 V 			8.043	37	4026.676	0.000	0.037	1.046	0.0000	0.0000
14	2.107	1.983	2.217	7635748	571228	13.3670	0.0000	 V 			8.792	68	2216.233	0.000	0.140	1.093	0.0000	0.0000
15	2.384	2.217	2.417	6607909	570357	11.5860	0.0000	 V 			10.075	79	1896.945	0.000	0.263	1.146	0.0000	0.0000
16	2.444	2.417	2.483	2211007	566996	3.9000	0.0000	 V 			10.358	64	2332.482	0.000	0.053	1.028	0.0000	0.0000
17	2.651	2.483	2.733	8477206	574404	14.7580	0.0000	 V 			11.320	6	23814.193	0.000	0.076	1.093	0.0000	0.0000
18	2.780	2.733	2.842	3575438	567111	6.3050	0.0000	 V 			11.917	30	5047.791	0.000	0.041	1.053	0.0000	0.0000
