[Header]
Application Name	LCsolution
Version	1.25
Data File Name	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-1a.lcd
Output Date	24.06.2025
Output Time	13:34:54

[File Information]
Type	Data File
Generated	24.06.2025 12:44:38
Generated by	Admin
Modified	24.06.2025 13:05:06
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	24.06.2025 12:45:01
Sample Type	0:Unknown
Level	1
Sample Name	FKE-Cal-FA-2-1a
Sample ID	FKE-Cal-FA-2-1a
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	3
Injection Volume	5

[Original Files]
Data File	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-FA-2-1a.lcd
Method File	C:\LabSolutions\Data\RWTH\aaaMethodenNEU\Formaldehyd_35grad_Methode_052025.lcm
Batch File	C:\LabSolutions\Data\RWTH\Daniel Ditz\Batch.lcb
Report Format File	C:\LabSolutions\Data\RI+UV-Quantifizierung.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector B
# of Channels	1	1

[Peak Table(Detector A-Ch1)]
# of Peaks	117
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	1.443	1.392	1.542	11759	1453	8.0910	0.0000	 V 			0.000	56	2654.990	0.000	0.000	0.000	0.0000	0.0000
2	1.627	1.542	1.733	15771	1500	10.5130	0.0000	 V 			0.127	42	3552.215	0.000	0.208	0.000	0.0000	0.0000
3	1.851	1.733	1.892	15553	1943	8.0070	0.0000	 V 			0.283	130	1150.374	0.000	0.271	2.218	0.0000	0.0000
4	2.179	2.092	2.242	20774	2514	8.2630	0.0000	 V 			0.510	92	1635.146	0.000	0.422	1.806	0.0000	0.0000
5	2.381	2.242	2.450	36400	3178	11.4540	0.0000	 V 			0.650	12	12267.369	0.000	0.111	1.273	0.0000	0.0000
6	2.614	2.450	2.642	42956	4000	10.7380	0.0000	 V 			0.812	44	3422.417	0.000	0.109	1.249	0.0000	0.0000
7	2.683	2.642	2.733	22337	4178	5.3460	0.0000	 V 			0.860	37	4007.682	0.000	0.041	1.059	0.0000	0.0000
8	2.789	2.733	2.933	50823	4408	11.5310	0.0000	 V 			0.933	12	12640.810	0.000	0.042	1.085	0.0000	0.0000
9	2.936	2.933	2.983	12114	4140	2.9260	0.0000	 V 			1.035	116	1294.006	0.000	0.068	1.109	0.0000	0.0000
10	3.068	2.983	3.242	62925	4291	14.6660	0.0000	 V 			1.127	14	11035.021	0.000	0.060	1.089	0.0000	0.0000
11	3.256	3.242	3.492	59256	3993	14.8410	0.0000	 V 			1.256	65	2298.949	0.000	0.076	1.115	0.0000	0.0000
12	3.619	3.492	3.692	48538	4294	11.3050	0.0000	 V 			1.508	12	12759.359	0.000	0.125	1.200	0.0000	0.0000
13	3.758	3.692	3.842	38935	4477	8.6970	0.0000	 V 			1.605	61	2479.038	0.000	0.045	1.064	0.0000	0.0000
14	3.946	3.842	3.983	38505	4682	8.2240	0.0000	 V 			1.735	24	6284.954	0.000	0.073	1.081	0.0000	0.0000
15	4.040	3.983	4.167	52462	4829	10.8640	0.0000	 V 			1.800	64	2329.213	0.000	0.036	1.038	0.0000	0.0000
16	4.183	4.167	4.258	25893	4820	5.3720	0.0000	 V 			1.899	147	1020.371	0.000	0.084	1.055	0.0000	0.0000
17	4.278	4.258	4.567	82676	4614	17.9170	0.0000	 V 			1.965	45	3352.046	0.000	0.048	1.035	0.0000	0.0000
18	4.793	4.567	4.833	73763	4979	14.8140	0.0000	 V 			2.322	12	12106.898	0.000	0.129	1.182	0.0000	0.0000
19	4.938	4.833	4.967	41288	5307	7.7800	0.0000	 V 			2.422	0	398685.780	0.000	0.008	1.043	0.0000	0.0000
20	5.286	4.967	5.317	128906	6783	19.0040	0.0000	 V 			2.664	0	4054879.391	0.000	0.005	1.100	0.0000	0.0000
21	5.493	5.317	5.533	88693	7906	11.2180	0.0000	 V 			2.807	461	325.542	0.000	0.004	1.054	0.0000	0.0000
22	5.615	5.533	5.683	118949	17650	6.7390	0.0000	   			2.892	20558	7.296	0.919	0.207	1.030	0.0000	0.0000
23	5.850	5.683	5.900	284092	31558	9.0020	0.0000	   			3.055	12926	11.605	0.645	1.298	1.056	0.0000	0.0000
24	5.952	5.900	6.033	232294	61621	3.7700	0.0000	   			3.125	52387	2.863	0.832	0.655	1.023	0.0000	0.0000
25	6.168	6.033	6.200	856281	115180	7.4340	0.0000	   			3.275	15512	9.670	0.000	1.431	1.048	0.0000	0.0000
26	6.268	6.200	6.358	852365	121042	7.0420	0.0000	 V 			3.344	13042	11.502	0.000	0.477	1.021	0.0000	0.0000
27	6.417	6.358	6.425	315434	106023	2.9750	0.0000	   			3.447	0	0.000	0.000	0.000	1.031	0.0000	0.0000
28	6.486	6.425	6.508	562028	119887	4.6880	0.0000	 V 			3.495	1418	105.814	0.000	0.000	1.014	0.0000	0.0000
29	6.619	6.508	6.692	1136099	137421	8.2670	0.0000	 V 			3.587	13298	11.280	0.000	0.290	1.026	0.0000	0.0000
30	6.717	6.692	6.783	325101	70274	4.6260	0.0000	 V 			3.655	34778	4.313	0.000	0.524	1.019	0.0000	0.0000
31	6.827	6.783	6.892	362472	110935	3.2670	0.0000	   			3.731	78469	1.912	1.325	0.912	1.021	0.0000	0.0000
32	6.915	6.892	6.967	452455	123664	3.6590	0.0000	   			3.793	49241	3.046	0.000	0.794	1.016	0.0000	0.0000
33	7.044	6.967	7.092	1042080	167576	6.2190	0.0000	 V 			3.882	6237	24.050	0.000	0.534	1.023	0.0000	0.0000
34	7.129	7.092	7.175	888620	200569	4.4300	0.0000	 V 			3.941	3437	43.639	0.000	0.203	1.015	0.0000	0.0000
35	7.227	7.175	7.308	1652445	238758	6.9210	0.0000	 V 			4.009	13168	11.392	0.000	0.265	1.017	0.0000	0.0000
36	7.339	7.308	7.375	564415	182829	3.0870	0.0000	 V 			4.086	52199	2.874	0.000	0.588	1.019	0.0000	0.0000
37	7.525	7.375	7.600	3283966	277755	11.8230	0.0000	 V 			4.215	1146	130.837	0.000	0.366	1.032	0.0000	0.0000
38	7.680	7.600	7.850	3377771	291597	11.5840	0.0000	 V 			4.323	1577	95.122	0.000	0.186	1.025	0.0000	0.0000
39	7.854	7.850	7.875	21893	43610	0.5020	0.0000	   			4.443	0	0.000	0.500	0.000	1.028	0.0000	0.0000
40	7.889	7.875	7.967	774575	122377	6.3290	0.0000	   			4.467	141337	1.061	3.251	0.000	1.005	0.0000	0.0000
41	7.997	7.967	8.067	936736	388085	2.4140	0.0000	   			4.543	172292	0.871	1.694	1.349	1.017	0.0000	0.0000
42	8.091	8.067	8.142	600220	309690	1.9380	0.0000	   			4.608	278926	0.538	1.527	1.362	1.014	0.0000	0.0000
43	8.198	8.158	8.250	846743	336419	2.5170	0.0000	   			4.682	163699	0.916	1.100	1.499	1.016	0.0000	0.0000
44	8.823	8.800	8.883	57070	23810	2.3970	0.0000	   			5.115	220157	0.681	1.800	7.998	1.093	0.0000	0.0000
45	9.307	9.283	9.392	53742	10957	4.9050	0.0000	   			5.450	127757	1.174	2.416	5.392	1.066	0.0000	0.0000
46	9.463	9.433	9.533	69171	27941	2.4760	0.0000	   			5.559	193497	0.775	1.660	1.644	1.020	0.0000	0.0000
47	9.578	9.567	9.683	31082	4265	7.2880	0.0000	   			5.638	49034	3.059	5.438	0.888	1.014	0.0000	0.0000
48	9.831	9.783	9.933	83364	20914	3.9860	0.0000	   			5.814	113999	1.316	1.599	1.747	1.031	0.0000	0.0000
49	10.018	9.958	10.067	68963	27458	2.5120	0.0000	   			5.943	318253	0.471	0.895	1.998	1.022	0.0000	0.0000
50	10.213	10.075	10.258	227687	29624	7.6860	0.0000	   			6.078	35914	4.177	0.000	1.360	1.023	0.0000	0.0000
51	10.459	10.258	10.525	1017385	98625	10.3160	0.0000	 V 			6.249	10033	14.950	0.000	0.777	1.028	0.0000	0.0000
52	10.868	10.525	10.908	3817339	273047	13.9800	0.0000	 V 			6.532	7578	19.793	0.000	0.892	1.045	0.0000	0.0000
53	11.138	10.908	11.225	6686384	438138	15.2610	0.0000	 V 			6.719	6334	23.682	0.000	0.510	1.029	0.0000	0.0000
54	11.432	11.225	11.475	8355411	748559	11.1620	0.0000	 V 			6.923	11340	13.227	0.000	0.594	1.030	0.0000	0.0000
55	11.504	11.475	11.542	2566738	683138	3.7570	0.0000	 V 			6.973	9684	15.489	0.000	0.162	1.007	0.0000	0.0000
56	11.660	11.542	11.700	6887813	826091	8.3380	0.0000	 V 			7.081	27048	5.546	0.000	0.414	1.015	0.0000	0.0000
57	11.781	11.700	11.892	9152515	960305	9.5310	0.0000	 V 			7.165	11797	12.715	0.000	0.338	1.012	0.0000	0.0000
58	11.923	11.892	11.992	4340187	821447	5.2840	0.0000	 V 			7.264	11552	12.985	0.000	0.324	1.014	0.0000	0.0000
59	12.080	11.992	12.108	6358616	1102067	5.7700	0.0000	 V 			7.372	13302	11.276	0.000	0.363	1.015	0.0000	0.0000
60	12.283	12.108	12.308	14384822	1313983	10.9470	0.0000	 V 			7.513	3796	39.516	0.000	0.333	1.019	0.0000	0.0000
61	12.385	12.308	12.450	10667559	1394521	7.6500	0.0000	 V 			7.584	6861	21.863	0.000	0.147	1.009	0.0000	0.0000
62	12.558	12.450	12.592	12345156	1544454	7.9930	0.0000	 V 			7.703	1927	77.861	0.000	0.198	1.016	0.0000	0.0000
63	12.729	12.592	12.775	17114860	1590327	10.7620	0.0000	 V 			7.822	110	1366.069	0.000	0.057	1.015	0.0000	0.0000
64	12.841	12.775	12.875	9371905	1567955	5.9770	0.0000	 V 			7.900	103	1455.467	0.000	0.023	1.010	0.0000	0.0000
65	12.974	12.875	13.033	14634930	1547131	9.4590	0.0000	 V 			7.992	361	415.447	0.000	0.034	1.012	0.0000	0.0000
66	13.159	13.033	13.225	17279468	1506220	11.4720	0.0000	 V 			8.120	12	12264.277	0.000	0.021	1.016	0.0000	0.0000
67	13.334	13.225	13.367	12441167	1467539	8.4780	0.0000	 V 			8.241	33	4529.995	0.000	0.014	1.015	0.0000	0.0000
68	13.490	13.367	13.767	33971152	1433464	23.6990	0.0000	 V 			8.350	22	6913.240	0.000	0.015	1.013	0.0000	0.0000
69	13.786	13.767	13.850	6812330	1367506	4.9820	0.0000	 V 			8.554	0	0.000	0.000	0.000	1.025	0.0000	0.0000
70	13.867	13.850	13.908	4714287	1349692	3.4930	0.0000	 V 			8.611	0	0.000	0.000	0.000	1.007	0.0000	0.0000
71	13.933	13.908	14.000	7317070	1335131	5.4800	0.0000	 V 			8.657	0	0.000	0.000	0.000	1.005	0.0000	0.0000
72	14.014	14.000	14.083	6553998	1317080	4.9760	0.0000	 V 			8.712	0	0.000	0.000	0.000	1.006	0.0000	0.0000
73	14.127	14.083	14.158	5819772	1292071	4.5040	0.0000	 V 			8.791	0	0.000	0.000	0.000	1.009	0.0000	0.0000
74	14.236	14.158	14.342	13913531	1268030	10.9730	0.0000	 V 			8.867	0	0.000	0.000	0.000	1.009	0.0000	0.0000
75	14.367	14.342	14.392	3717442	1239195	3.0000	0.0000	 V 			8.957	0	0.000	0.000	0.000	1.010	0.0000	0.0000
76	14.440	14.392	14.583	13943275	1223055	11.4000	0.0000	 V 			9.008	0	0.000	0.000	0.000	1.006	0.0000	0.0000
77	14.616	14.583	14.675	6496396	1184053	5.4870	0.0000	 V 			9.130	0	0.000	0.000	0.000	1.014	0.0000	0.0000
78	14.787	14.675	14.933	17712425	1146720	15.4460	0.0000	 V 			9.249	0	0.000	0.000	0.000	1.013	0.0000	0.0000
79	14.994	14.933	15.125	12571855	1101298	11.4150	0.0000	 V 			9.392	0	0.000	0.000	0.000	1.015	0.0000	0.0000
80	15.222	15.125	15.258	8458120	1050628	8.0510	0.0000	 V 			9.550	0	0.000	0.000	0.000	1.017	0.0000	0.0000
81	15.283	15.258	15.317	3626702	1037203	3.4970	0.0000	 V 			9.592	0	0.000	0.000	0.000	1.004	0.0000	0.0000
82	15.373	15.317	15.408	5607849	1017437	5.5120	0.0000	 V 			9.654	0	0.000	0.000	0.000	1.006	0.0000	0.0000
83	15.481	15.408	15.558	8936928	993676	8.9940	0.0000	 V 			9.729	0	0.000	0.000	0.000	1.008	0.0000	0.0000
